sep=;
Long;Lat
13.0309107;47.7893933
Timestamp;Temperature;Humidity
1484109900;-4.4;92
1484111700;-4.3;93
1484113500;-4.2;93
1484115300;-4.2;92
1484117100;-4.2;93
1484118900;-4.3;92
1484120700;-4.1;93
1484122500;-3.9;92
1484124300;-3.4;91
1484126100;-2.8;88
1484127900;-2.3;86
1484129700;-2;84
1484131500;-1.8;83
1484133300;-1.5;82
1484135100;-1;80
1484136900;-0.4;78
1484138700;-0.1;77
1484140500;0;76
1484142300;0;76
1484144100;0;75
1484145900;0.2;75
1484147700;-0.1;76
1484149500;-0.3;77
1484151300;-0.5;77
1484153100;-0.5;78
1484154900;-0.5;78
1484156700;-0.4;78
1484158500;-0.2;78
1484160300;-0.2;82
1484162100;-0.3;87
1484163900;-0.3;91
1484165700;-0.2;93
1484167500;-0.1;92
1484169300;-0.1;92
1484171100;0.3;96
1484172900;2.4;95
1484174700;3.5;89
1484176500;3.6;89
1484178300;3.3;90
1484180100;3.2;90
1484181900;2.9;92
1484183700;2.6;94
1484185500;2.2;93
1484187300;1.8;95
1484189100;1.7;96
1484190900;1.6;96
1484192700;2;96
1484194500;2.3;94
1484196300;2.4;94
1484198100;2.4;93
1484199900;2.4;93
1484201700;2.4;92
1484203500;2.3;93
1484205300;2.4;92
1484207100;2.5;91
1484208900;2.3;93
1484210700;2.2;95
1484212500;2.3;96
1484214300;2.7;97
1484216100;3.2;96
1484217900;3.6;96
1484219700;4.2;94
1484221500;4.5;92
1484223300;4.7;88
1484225100;4.1;89
1484226900;4.1;90
1484228700;3.9;90
1484230500;3.5;93
1484232300;3.2;94
1484234100;3;94
1484235900;2.7;95
1484237700;2.6;96
1484239500;2.5;96
1484241300;2.3;96
1484243100;2.2;96
1484244900;2.1;97
1484246700;2.1;97
1484248500;2;96
1484250300;1.9;97
1484252100;2;97
1484253900;1.9;96
1484255700;1.8;96
1484257500;1.9;96
1484259300;1.9;96
1484261100;1.9;96
1484262900;1.8;96
1484264700;1.8;96
1484266500;1.8;96
1484268300;1.7;96
1484270100;1.6;98
1484271900;1.8;97
1484273700;2.4;93
1484275500;2.4;92
1484277300;2.6;92
1484279100;2.7;94
1484280900;3.1;92
1484282700;4;84
1484284500;4;84
1484286300;3.4;88
1484288100;3.2;87
1484289900;3.3;82
1484291700;3.7;76
1484293500;3.9;72
1484295300;3.8;70
1484297100;3.9;64
1484298900;3.9;61
1484300700;3.7;60
1484302500;3.8;58
1484304300;3.9;53
1484306100;3.6;54
1484307900;3.4;54
1484309700;3.2;55
1484311500;3.2;55
1484313300;3.1;54
1484315100;2.9;56
1484316900;2.7;56
1484318700;2.5;57
1484320500;2.3;59
1484322300;2;59
1484324100;1.9;60
1484325900;1.6;63
1484327700;0.8;76
1484329500;0.2;82
1484331300;0.1;83
1484333100;0.1;83
1484334900;0;84
1484336700;0;86
1484338500;-0.1;86
1484340300;0;85
1484342100;0;85
1484343900;0;84
1484345700;0.1;80
1484347500;0.2;75
1484349300;0.4;74
1484351100;0.4;75
1484352900;-0.3;83
1484354700;-0.6;84
1484356500;-0.7;84
1484358300;-0.8;83
1484360100;-1.1;83
1484361900;-1.3;83
1484363700;-1.4;83
1484365500;-1.2;83
1484367300;-0.9;82
1484369100;-0.9;80
1484370900;-0.9;80
1484372700;-0.8;80
1484374500;-0.6;80
1484376300;-0.6;83
1484378100;-0.9;86
1484379900;-1.1;87
1484381700;-1.1;88
1484383500;-1.1;89
1484385300;-1.1;90
1484387100;-0.9;91
1484388900;0.1;92
1484390700;0.6;90
1484392500;0.8;91
1484394300;0.8;92
1484396100;0.5;94
1484397900;0.5;93
1484399700;0.7;92
1484401500;0.9;85
1484403300;0.9;84
1484405100;1;81
1484406900;1.1;78
1484408700;1;77
1484410500;0.8;78
1484412300;0.3;79
1484414100;0.3;77
1484415900;0.5;75
1484417700;0.5;74
1484419500;0.4;78
1484421300;-0.3;88
1484423100;-0.3;87
1484424900;-0.3;85
1484426700;-0.2;83
1484428500;-0.3;84
1484430300;-0.3;85
1484432100;-0.6;86
1484433900;-0.7;87
1484435700;-0.6;85
1484437500;-0.6;87
1484439300;-0.7;88
1484441100;-1;88
1484442900;-1.3;89
1484444700;-1.4;90
1484446500;-1.5;91
1484448300;-1.5;91
1484450100;-1.4;91
1484451900;-1.3;89
1484453700;-1.3;89
1484455500;-1.3;90
1484457300;-1.3;90
1484459100;-1.4;90
1484460900;-1.5;90
1484462700;-1.7;89
1484464500;-1.7;90
1484466300;-1.5;90
1484468100;-1.2;90
1484469900;-1;90
1484471700;-0.7;88
1484473500;-0.5;87
1484475300;-0.3;88
1484477100;0.2;86
1484478900;0.8;82
1484480700;1.1;81
1484482500;1.8;75
1484484300;1.7;73
1484486100;1.9;70
1484487900;1.7;69
1484489700;2;67
1484491500;2.1;66
1484493300;1.3;71
1484495100;0.2;84
1484496900;-0.5;85
1484498700;-1;85
1484500500;-1.2;88
1484502300;-1.3;90
1484504100;-1.3;90
1484505900;-1.3;90
1484507700;-1.3;90
1484509500;-1.3;90
1484511300;-1.3;91
1484513100;-1.4;91
1484514900;-1.4;91
1484516700;-1.5;91
1484518500;-1.6;92
1484520300;-1.6;92
1484522100;-1.6;93
1484523900;-1.6;93
1484525700;-1.6;93
1484527500;-1.8;92
1484529300;-2.1;92
1484531100;-2.1;92
1484532900;-2.4;91
1484534700;-2.6;89
1484536500;-2.8;89
1484538300;-3;89
1484540100;-3.1;91
1484541900;-3.2;92
1484543700;-3.2;93
1484545500;-3.2;92
1484547300;-3.3;92
1484549100;-3.3;92
1484550900;-3.3;91
1484552700;-3.3;91
1484554500;-3.2;90
1484556300;-3.3;89
1484558100;-3.3;90
1484559900;-2.9;90
1484561700;-2.6;89
1484563500;-2.2;87
1484565300;-2;88
1484567100;-1.8;88
1484568900;-1.6;88
1484570700;-1.3;88
1484572500;-1.1;86
1484574300;-1.3;87
1484576100;-1.5;88
1484577900;-1.7;90
1484579700;-1.8;91
1484581500;-1.9;91
1484583300;-2.1;92
1484585100;-2.1;92
1484586900;-2.1;92
1484588700;-2.2;92
1484590500;-2.3;92
1484592300;-2.3;92
1484594100;-2.3;92
1484595900;-2.4;92
1484597700;-2.4;92
1484599500;-2.5;93
1484601300;-2.6;93
1484603100;-2.6;93
1484604900;-2.7;92
1484606700;-2.9;92
1484608500;-3;93
1484610300;-3.2;92
